AÑO,CULTIVO,PERIODO,MUNICIPIOS,AREA SEMBRADA (Has),AREA COSECHADA (Has),RENDIMIENTO (Ton/Ha),PRODUCCIÓN (Ton)
2016,AJONJOLÍ,SEMESTRE B,BUENAVISTA,55,55,8,44
2016,AJONJOLÍ,SEMESTRE B,CHALAN,275,25,3,75
2016,AJONJOLÍ,SEMESTRE B,COLOSO,5,5,7,35
2016,AJONJOLÍ,SEMESTRE B,COVEÑAS,6,6,6,36
2016,AJONJOLÍ,SEMESTRE B,EL ROBLE,12,9,2,18
2016,AJONJOLÍ,SEMESTRE B,GALERAS,69,69,6,414
2016,AJONJOLÍ,SEMESTRE B,LOS PALMITOS,98,82,6,492
2016,AJONJOLÍ,SEMESTRE B,OVEJAS,300,280,8,224
2016,AJONJOLÍ,SEMESTRE B,SAN PEDRO,200,200,6,120
2016,AJONJOLÍ,SEMESTRE B,SINCE,75,675,9,6075
2016,AJONJOLÍ,SEMESTRE B,SINCELEJO,15,15,6,9
2016,AJONJOLÍ,SEMESTRE B,TOLUVIEJO,40,40,8,32
2016,ARROZ SECANO MANUAL,SEMESTRE A,CAIMITO,170,132,33,4356
2016,ARROZ SECANO MANUAL,SEMESTRE A,CHALAN,434,405,1,405
2016,ARROZ SECANO MANUAL,SEMESTRE A,COLOSO,5,5,0.8,4
2016,ARROZ SECANO MANUAL,SEMESTRE A,EL ROBLE,82,78,25,195
2016,ARROZ SECANO MANUAL,SEMESTRE A,GALERAS,115,115,7,805
2016,ARROZ SECANO MANUAL,SEMESTRE A,GUARANDA,453,405,3,1215
2016,ARROZ SECANO MANUAL,SEMESTRE A,LA UNION,250,200,6,120
2016,ARROZ SECANO MANUAL,SEMESTRE A,MAJAGUAL,245,225,2,450
2016,ARROZ SECANO MANUAL,SEMESTRE A,MORROA,85,85,11,935
2016,ARROZ SECANO MANUAL,SEMESTRE A,SAMPUES,8,3,25,75
2016,ARROZ SECANO MANUAL,SEMESTRE A,SAN BENITO ABAD,210,200,3,600
2016,ARROZ SECANO MANUAL,SEMESTRE A,SAN MARCOS,1050,1050,2,2100
2016,ARROZ SECANO MANUAL,SEMESTRE A,SUCRE,1210,907,18,16326
2016,ARROZ SECANO MANUAL,SEMESTRE A,TOLU,50,35,23,805
2016,ARROZ SECANO MANUAL,SEMESTRE B,CAIMITO,166,140,33,462
2016,ARROZ SECANO MANUAL,SEMESTRE B,CHALAN,11675,112,13,1456
2016,ARROZ SECANO MANUAL,SEMESTRE B,COLOSO,65,65,1,65
2016,ARROZ SECANO MANUAL,SEMESTRE B,COVEÑAS,8,8,14,112
2016,ARROZ SECANO MANUAL,SEMESTRE B,SAN ANTONIO DE PALMITO,60,60,14,84
2016,ARROZ SECANO MANUAL,SEMESTRE B,EL ROBLE,74,70,25,175
2016,ARROZ SECANO MANUAL,SEMESTRE B,GALERAS,800,720,3,2160
2016,ARROZ SECANO MANUAL,SEMESTRE B,LA UNION,240,220,1,220
2016,ARROZ SECANO MANUAL,SEMESTRE B,MAJAGUAL,190,170,15,255
2016,ARROZ SECANO MANUAL,SEMESTRE B,MORROA,8,8,11,88
2016,ARROZ SECANO MANUAL,SEMESTRE B,SAN BENITO ABAD,175,175,31,5425
2016,ARROZ SECANO MANUAL,SEMESTRE B,SAN JUAN DE BETULIA,7,7,2,14
2016,ARROZ SECANO MANUAL,SEMESTRE B,SAN MARCOS,700,700,12,840
2016,ARROZ SECANO MANUAL,SEMESTRE B,SAN ONOFRE,470,460,32,1472
2016,ARROZ SECANO MANUAL,SEMESTRE B,SINCE,2675,26,1,26
2016,ARROZ SECANO MANUAL,SEMESTRE B,SUCRE,850,722,2,1444
2016,ARROZ SECANO MANUAL,SEMESTRE B,TOLU,50,43,28,1204
