MUNICIPIOS,PRODUCTO,AREA SEMBRADA (ha),AREA COSECHADA (ha),RENDIMIENTO (t/ha),PRODUCCIÓN (t),PRECIO PAGADO AL PRODUCTOR ($/kg),EXPLOTACIONES AGRÍCOLAS
CHALAN,AGUACATE,560,550,200,11000,$ 2.000,1050
COLOSO,AGUACATE,700,700,50,3500,$ 2.000,1500
OVEJAS,AGUACATE,4320,3920,70,27440,$ 1.480,1200
CHALAN,CACAO,250,250,8,200,$ 4.300,690
COLOSO,CACAO,540,90,5,45,$ 3.500,690
GUARANDA,CACAO,480,260,10,260,$ 5.000,950
MAJAGUAL,CACAO,1430,1100,14,1540,$ 5.438,870
OVEJAS,CACAO,450,300,20,600,$ 4.025,200
SAN MARCOS,CACAO,270,220,20,440,$ 6.500,280
SAN ONOFRE,CACAO,520,520,10,520,$ 5.500,60
SAN ANTONIO DE PALMITO,CAÑA FLECHA,740,700,3,210,$ 500,1000
GALERAS,CAÑA PANELERA,840,580,80,4640,$ 3.500,510
LA UNION,CAÑA PANELERA,90,90,50,450,$ 3.792,60
MAJAGUAL,CAÑA PANELERA,370,320,100,3200,$ 3.600,330
SAN ANTONIO DE PALMITO,CAÑA PANELERA,250,200,40,800,$ 5.000,290
SAN MARCOS,CAÑA PANELERA,990,930,48,4464,$ 2.933,160
SINCELEJO,CAÑA PANELERA,160,160,30,480,$ 2.075,280
COVEÑAS,coco,1000,1000,60,6000,$ 1.375,6000
GUARANDA,coco,260,160,90,1440,$ 1.800,4800
SAN BENITO ABAD,coco,60,35,40,140,$ 4.000,450
SAN MARCOS,coco,480,470,70,3290,$ 1.800,9100
SAN ONOFRE,coco,3330,3330,40,13320,$ 1.917,1500
SUCRE,coco,330,330,40,1320,$ 1.291,9000
TOLU,coco,870,870,70,6090,$ 1.283,3500
COVEÑAS,GUANABANA,60,60,10,60,$ 925,70
SAN ANTONIO DE PALMITO,GUANABANA,20,10,50,50,$ 2.333,50
COVEÑAS,GUAYABA DULCE,75,75,40,300,$ 1.967,150
MORROA,GUAYABA DULCE,140,140,28,392,$ 479,180
OVEJAS,GUAYABA DULCE,700,550,40,2200,$ 945,300
SAN ANTONIO DE PALMITO,GUAYABA DULCE,50,40,50,200,$ 2.200,100
SINCELEJO,GUAYABA DULCE,50,40,35,140,$ 1.888,20
CHALAN,LIMON,20,19,10,19,$ 800,650
COVEÑAS,LIMON,20,10,15,15,$ 1.775,300
MORROA,LIMON,25,25,28,70,$ 589,80
SAN ANTONIO DE PALMITO,LIMON,50,40,30,120,$ 563,280
SAN BENITO ABAD,LIMON,70,50,55,275,$ 600,560
COROZAL,MANGO,20,20,30,60,$ 800,180
COVEÑAS,MANGO,240,240,10,240,$ 1.800,450
OVEJAS,MANGO,2650,1230,90,11070,$ 1.013,950
SAN ANTONIO DE PALMITO,MANGO,70,50,400,2000,$ 450,520
SAN BENITO ABAD,MANGO,760,720,370,26640,$ 500,920
SAN ONOFRE,MANGO,1100,1100,150,16500,$ 3.000,530
SINCE,MANGO,10,10,30,30,$ 160,10
CHALAN,MARACUYA,10,10,80,80,$ 3.682,10
MAJAGUAL,MARACUYA,285,215,100,2150,$ 2.167,180
TOLUVIEJO,MARACUYA,70,70,200,1400,$ 1.500,30
CHALAN,NARANJA DULCE,36,26,15,39,$ 800,1320
COROZAL,NARANJA DULCE,40,40,40,160,$ 480,60
COVEÑAS,NARANJA DULCE,60,60,20,120,$ 1.167,90
GALERAS,NARANJA DULCE,790,770,41,3157,$ 1.000,1620
LA UNION,NARANJA DULCE,250,250,60,1500,$ 600,110
MORROA,NARANJA DULCE,50,50,22,110,$ 600,50
OVEJAS,NARANJA DULCE,820,740,60,4440,$ 850,400
SAN ANTONIO DE PALMITO,NARANJA DULCE,110,70,25,200,$ 1.767,400
SAN ONOFRE,NARANJA DULCE,220,220,50,1100,$ 600,300
SAN PEDRO,NARANJA DULCE,100,100,130,1300,$ 3.050,400
MAJAGUAL,PALMA DE ACEITE,1800,1800,150,27000,$ 500,10
SAN ANTONIO DE PALMITO,PALMA DE ACEITE,1500,1500,150,22500,$ 500,30
SAN BENITO ABAD,PALMA DE ACEITE,1500,1500,150,22500,$ 500,20
SAN ONOFRE,PALMA DE ACEITE,12500,12500,180,225000,$ 500,430
TOLUVIEJO,PALMA DE ACEITE,2600,1700,370,62900,$ 292,50
SAMPUES,PAPAYA,20,10,300,300,$ 650,10
SINCE,PAPAYA,45,25,75,188,$ 531,70
SINCELEJO,PAPAYA,20,0,120,0,$ 2.225,30
TOLUVIEJO,PAPAYA,114,114,150,1710,$ 400,40
COVEÑAS,PIÑA,40,30,15,45,$ 2.833,120
OVEJAS,PIÑA,100,60,700,4200,$ 1.100,20
SAMPUES,PIÑA,20,10,450,450,$ 1.000,10
SAN MARCOS,PIÑA,180,140,400,5600,$ 1.183,60
SINCELEJO,PIÑA,80,80,130,1040,$ 1.800,40
BUENAVISTA,PLATANO,305,185,60,1110,$ 740,180
CAIMITO,PLATANO,905,440,23,1012,$ 1.225,1700
CHALAN,PLATANO,425,405,60,2430,$ 1.075,1160
COLOSO,PLATANO,1050,1050,30,3080,$ 833,3100
COROZAL,PLATANO,10,10,30,30,$ 300,80
COVEÑAS,PLATANO,250,210,70,1470,$ 1.342,400
EL ROBLE,PLATANO,100,100,10,100,$ 717,400
GALERAS,PLATANO,1690,1620,35,5670,$ 600,2070
GUARANDA,PLATANO,510,400,55,2200,$ 800,4850
LA UNION,PLATANO,800,790,40,3160,$ 450,780
LOS PALMITOS,PLATANO,410,220,250,5500,$ 750,1600
MORROA,PLATANO,880,880,45,4000,$ 218,700
OVEJAS,PLATANO,4870,4570,65,29705,$ 1.050,250
SAMPUES,PLATANO,30,15,30,45,$ 867,30
SAN ANTONIO DE PALMITO,PLATANO,760,700,40,2800,$ 1.142,1330
SAN BENITO ABAD,PLATANO,1400,290,20,580,$ 900,1320
SAN MARCOS,PLATANO,890,590,70,4130,$ 517,3000
SAN ONOFRE,PLATANO,2950,2950,65,19175,$ 500,4000
SAN PEDRO,PLATANO,290,255,50,1275,$ 1.600,1070
SINCE,PLATANO,105,80,35,280,$ 279,410
SINCELEJO,PLATANO,210,210,20,420,$ 650,430
SUCRE,PLATANO,2250,2050,45,9225,$ 718,11000
TOLU,PLATANO,620,570,40,2280,$ 883,3000
TOLUVIEJO,PLATANO,618,508,205,10414,$ 373,1980
GUARANDA,ZAPOTE,570,550,70,3850,$ 1.300,5500
